report_id,date,house,company,segment,fy,period,metric,value,unit,source_page
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,전사,2025,FY,매출,23672,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,전사,2026,FY,매출,31107,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,전사,2027,FY,매출,40960,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,전사,2025,FY,영업이익,1346,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,전사,2026,FY,영업이익,1440,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,전사,2027,FY,영업이익,5195,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형,2025,FY,매출,6826,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형,2026,FY,매출,8761,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형,2027,FY,매출,9364,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형,2025,FY,영업이익,457,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형,2026,FY,영업이익,626,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형,2027,FY,영업이익,639,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,자동차,2025,FY,매출,15508,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,자동차,2026,FY,매출,11741,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,자동차,2027,FY,매출,12987,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,자동차,2025,FY,영업이익,-599,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,자동차,2026,FY,영업이익,-470,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,자동차,2027,FY,영업이익,-22,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2025,FY,매출,2985,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2026,FY,매출,10604,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2027,FY,매출,18610,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2025,FY,영업이익,-158,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2026,FY,영업이익,-208,십억원,4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2027,FY,영업이익,536,십억원,4
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,전사,2025,FY,매출,23672,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,전사,2026,FY,매출,28253,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,전사,2027,FY,매출,33670,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,전사,2025,FY,영업이익,1346,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,전사,2026,FY,영업이익,993,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,전사,2027,FY,영업이익,3637,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,중대형,2025,FY,매출,16912,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,중대형,2026,FY,매출,20326,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,중대형,2027,FY,매출,25936,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,EV,2025,FY,매출,14198,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,EV,2026,FY,매출,11925,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,EV,2027,FY,매출,13860,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,ESS,2025,FY,매출,2715,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,ESS,2026,FY,매출,8401,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,ESS,2027,FY,매출,12076,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,소형,2025,FY,매출,5855,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,소형,2026,FY,매출,7477,십억원,3
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,소형,2027,FY,매출,7733,십억원,3
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전사,2025,FY,매출,13267,십억원,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전사,2026,FY,매출,15575,십억원,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전사,2027,FY,매출,19141,십억원,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전사,2025,FY,영업이익,-1722,십억원,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전사,2026,FY,영업이익,250,십억원,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전사,2027,FY,영업이익,1722,십억원,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,소형전지(IT),2026,FY,매출,4786,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,소형전지(IT),2027,FY,매출,5596,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,소형전지(IT),2026,FY,영업이익,-190,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,소형전지(IT),2027,FY,영업이익,364,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,"중대형전지(EV,ESS)",2026,FY,매출,9729,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,"중대형전지(EV,ESS)",2027,FY,매출,12383,십억원,2
