report_id,date,house,company,issue,stance_score,summary,source_page
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,ESS,2,"북미 ESS 대규모 수주와 생산능력 확장으로 3Q26부터 ESS가 전사 최대 매출원으로 등극, 미국 시장 압도적 1위 지위 공고화가 최대 투자포인트.",1
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,북미CAPEX,1,"미국 배터리 생산능력이 2025년 87GWh에서 2028년 203GWh로 확대되며 가동률도 점진 상승, 이익 레버리지 기반.",3
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,AMPC,1,"IRA AMPC는 2Q26 2,965억원(판매량 6.8GWh)으로 QoQ 반등, ESS 포함 북미 생산 확대에 따라 중장기 세제혜택 규모 확대.",4
2026-06-17_삼성증권_LGES,2026-06-17,삼성증권,LGES,소형전지,1,"원통형 소형전지는 견조한 흑자 유지하며 2Q26 영업이익 1,506억원(+13%QoQ)으로 안정적 수익 기여.",2
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,ESS,2,온타리오 등 신규라인 가동으로 ESS 매출이 QoQ +25% 이상 급증하며 2026년 흑자전환의 핵심 동력이자 AI 데이터센터 인프라 수혜로 최대 병목 영역으로 지목.,1
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,AMPC,2,"2Q26 AMPC 약 2,560억원, ESS 출하량 가정이 전년 8GWh에서 28GWh로 급증하며 2027년까지 지속적 매출·손익 개선을 견인.",1
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,소형전지,2,난징공장 공급 EV고객사 롱바디 모델의 유럽 전개 및 유럽 전기차 생산능력 증설로 소형전지 매출 QoQ +14% 구조적 수혜 시작.,1
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,LFP,1,2026년부터 미드니켈/LFP 양극재 기반 파우치 셀 공급이 본격화되며 유럽 대형전지 가동률 개선이 손익의 관건으로 GM향은 3Q26부터 물량 출하 기대.,1
2026-06-18_다올투자증권_LGES,2026-06-18,다올투자증권,LGES,밸류에이션,1,고평가 상태이나 수익성 개선이 점차 확인되며 투자 매력도가 상승 중.,1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,ESS,2,"데이터센터 ESS 내 고수익성 제품(BBU, UPS) 비중 상승으로 수익성 개선이 본격화되고 하반기 북미 ESS 수주 모멘텀이 지속될 것으로 긍정 전망.",1
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,북미CAPEX,1,북미 ESS 및 유럽 EV 향 신규 프로젝트 수주 모멘텀과 함께 북미/유럽 라인 전환 투자가 하반기 가속화될 것으로 전망.,1
